Model,Stripe,Threshold,MCC,Coefs,Median Threshold,Median MCC
"('Ama__6', 'Antp__6', 'CG10479__6', 'slp2__6')",4+6+7,0.7,0.31265425463745544,[[  2.53988555  -1.76612095  -5.7380519  -11.19584436]],0.7,0.31265425463745544
"('Ama__6', 'Antp__6', 'CG10479__6', 'sna__6')",3,0.7,0.1597870950163626,[[ 2.29919489  7.38976921 -0.15836865 -2.5196554 ]],0.7,0.1597870950163626
"('Ama__6', 'Antp__6', 'CG10479__6', 'sna__6')",5,0.7,0.13123512489825123,[[ 4.60627657 -0.72187593 -4.23119499 -2.88575444]],0.7,0.13123512489825123
"('Ama__6', 'Antp__6', 'CG10479__6', 'sna__6')",1+2,0.83,0.48159779503186234,[[ 1.39972034  6.53443825  1.91938065 -1.19768631]],0.79,0.47664637572491264
"('Ama__6', 'Antp__6', 'CG10479__6', 'sna__6')",4+6+7,0.71,0.28208679196649644,[[ 4.88895113 -1.71124598 -7.38578328 -3.21446537]],0.7,0.2783940260738552
"('Ama__6', 'Antp__6', 'CG10479__6', 'sob__6')",3,0.7,0.19907638332499944,[[-0.71779366  6.6166571   0.23633023 -4.59963181]],0.7,0.19907638332499944
"('Ama__6', 'Antp__6', 'CG10479__6', 'sob__6')",5,0.72,0.13583111520361738,[[ 1.87289488 -1.12315303 -3.10763125 -0.33308765]],0.7,0.1336802209638818
"('Ama__6', 'Antp__6', 'CG10479__6', 'sob__6')",1+2,0.78,0.4671379144363665,[[1.17823431 7.06642282 2.11159328 3.3430613 ]],0.79,0.46257603234332434
"('Ama__6', 'Antp__6', 'CG10479__6', 'sob__6')",4+6+7,0.71,0.23532654240096487,[[ 1.83823032 -1.88710777 -6.32553894 -0.81335253]],0.7,0.23380727453074715
"('Ama__6', 'Antp__6', 'CG10479__6', 'srp__6')",3,0.7,0.17240155393214115,[[-0.25539698  6.27644668 -0.21305158 -9.74370655]],0.7,0.17240155393214115
"('Ama__6', 'Antp__6', 'CG10479__6', 'srp__6')",5,0.7,0.12133639019697007,[[ 1.65379667 -1.46015219 -3.25286645 -4.53810841]],0.7,0.12133639019697007
"('Ama__6', 'Antp__6', 'CG10479__6', 'srp__6')",1+2,0.84,0.4703304804738472,[[ 0.1223046   6.18338809  1.81561444 -5.74908568]],0.79,0.46506606119856125
"('Ama__6', 'Antp__6', 'CG10479__6', 'srp__6')",4+6+7,0.7,0.2559455876078393,[[ 1.6802661  -2.34206314 -6.40770484 -3.52758194]],0.7,0.2559455876078393
"('Ama__6', 'Antp__6', 'CG10479__6', 'tkv__6')",3,0.7,0.15671929697538844,[[ 0.25407418  5.97243483  0.42035854 -0.20989136]],0.7,0.15671929697538844
"('Ama__6', 'Antp__6', 'CG10479__6', 'tkv__6')",5,0.81,0.10927658872232597,[[ 2.91306016 -1.85923274 -1.94440046 -4.91536351]],0.7,0.10900119341124312
"('Ama__6', 'Antp__6', 'CG10479__6', 'tkv__6')",1+2,0.82,0.46525584666588893,[[ 1.1624053   6.16014066  3.56881247 -4.01751707]],0.79,0.4635802724461851
"('Ama__6', 'Antp__6', 'CG10479__6', 'tkv__6')",4+6+7,0.7,0.2222699925203101,[[ 2.87613339 -2.65974569 -4.65433025 -4.40840876]],0.7,0.2222699925203101
"('Ama__6', 'Antp__6', 'CG10479__6', 'tll__6')",3,0.7,0.26970172023458017,[[ -0.46920112   6.56796246  -0.21479321 -42.94840609]],0.7,0.26970172023458017
"('Ama__6', 'Antp__6', 'CG10479__6', 'tll__6')",5,0.71,0.17873337800991257,[[  1.51654567  -2.14378516  -3.99983385 -39.09315128]],0.7,0.1770408798255757
"('Ama__6', 'Antp__6', 'CG10479__6', 'tll__6')",1+2,0.81,0.47215564808843374,[[-0.01077289  5.75939328  1.81563809 -7.98014037]],0.79,0.4697261817155086
"('Ama__6', 'Antp__6', 'CG10479__6', 'tll__6')",4+6+7,0.7,0.23774431919877725,[[ 1.52463915 -3.13125427 -6.5533517  -6.91666114]],0.7,0.23774431919877725
"('Ama__6', 'Antp__6', 'CG10479__6', 'toc__6')",3,0.7,0.18333496074577296,[[-0.12290636  6.20758069  1.3633321  -3.60154004]],0.7,0.18333496074577296
"('Ama__6', 'Antp__6', 'CG10479__6', 'toc__6')",5,0.74,0.13279097352447483,[[ 1.85084377 -1.21595993 -2.64177011 -1.1205567 ]],0.7,0.12799295598909963
"('Ama__6', 'Antp__6', 'CG10479__6', 'toc__6')",1+2,0.8,0.46421254503743914,[[0.39411836 6.55127995 2.01193797 0.01668712]],0.79,0.4635189779815561
"('Ama__6', 'Antp__6', 'CG10479__6', 'toc__6')",4+6+7,0.7,0.2517010610810428,[[ 2.08699349 -1.88992364 -6.82614665  1.08952017]],0.7,0.2517010610810428
"('Ama__6', 'Antp__6', 'CG10479__6', 'trn__6')",3,0.7,0.14989271762957398,[[ 0.15382707  6.63948441  0.23392983 -1.04428459]],0.7,0.14989271762957398
"('Ama__6', 'Antp__6', 'CG10479__6', 'trn__6')",5,0.82,0.23935389328293238,[[ 1.92439428 -2.81941315 -2.11155126  3.22294192]],0.7,0.21698801633367215
"('Ama__6', 'Antp__6', 'CG10479__6', 'trn__6')",1+2,0.91,0.4396670193088295,[[0.61685377 6.17372828 2.8366395  2.93979324]],0.79,0.4061601514984615
"('Ama__6', 'Antp__6', 'CG10479__6', 'trn__6')",4+6+7,0.71,0.3480816864332185,[[ 2.07023724 -3.22799728 -5.75985265  2.87614832]],0.7,0.34727100771188546
"('Ama__6', 'Antp__6', 'CG10479__6', 'tsh__6')",3,0.7,0.5444585940118402,[[-0.25671663 -8.87482779  4.88167529 12.82090278]],0.7,0.5444585940118402
"('Ama__6', 'Antp__6', 'CG10479__6', 'tsh__6')",5,0.7,0.24853314613130587,[[  3.62993665  11.31777462  -4.45152291 -13.89143607]],0.7,0.24853314613130587
"('Ama__6', 'Antp__6', 'CG10479__6', 'tsh__6')",1+2,0.85,0.4714158661065814,[[ 0.66718952  8.96555593  1.63336109 -1.62681252]],0.79,0.4629600850248859
"('Ama__6', 'Antp__6', 'CG10479__6', 'tsh__6')",4+6+7,0.7,0.267519712264547,[[ 2.45562106  0.77302176 -6.86422869 -2.58324325]],0.7,0.267519712264547
"('Ama__6', 'Antp__6', 'CG10479__6', 'twi__6')",3,0.7,0.14851796652444715,[[ 2.08687595  7.36452619 -0.05864394 -2.23381659]],0.7,0.14851796652444715
"('Ama__6', 'Antp__6', 'CG10479__6', 'twi__6')",5,0.7,0.14275013166835054,[[ 5.14168452 -0.55050003 -4.49120146 -3.69172738]],0.7,0.14275013166835054
"('Ama__6', 'Antp__6', 'CG10479__6', 'twi__6')",1+2,0.8,0.49162767738365437,[[ 1.91937526  6.52852197  1.71805192 -1.83899868]],0.79,0.4882317660469294
"('Ama__6', 'Antp__6', 'CG10479__6', 'twi__6')",4+6+7,0.7,0.2916263433018703,[[ 5.20486438 -1.67975139 -7.62797608 -3.71931852]],0.7,0.2916263433018703
"('Ama__6', 'Antp__6', 'CG10479__6', 'zen__6')",3,0.7,0.15304678831633606,[[-0.10023672  6.71207559 -1.92749191  5.79538859]],0.7,0.15304678831633606
"('Ama__6', 'Antp__6', 'CG10479__6', 'zen__6')",5,0.7,0.11473300770566974,[[ 1.8193498  -1.08308871 -5.38246063  5.57080252]],0.7,0.11473300770566974
"('Ama__6', 'Antp__6', 'CG10479__6', 'zen__6')",1+2,0.77,0.45670163757143334,[[ 0.56848292  7.20173651  3.26074366 -5.76986494]],0.79,0.4559633833799834
"('Ama__6', 'Antp__6', 'CG10479__6', 'zen__6')",4+6+7,0.7,0.22189158761014405,[[ 1.90115069 -1.91634393 -7.13120098  2.66868566]],0.7,0.22189158761014405
"('Ama__6', 'Antp__6', 'CG10479__6', 'KrP__6')",3,0.88,0.7504590720769818,[[ 6.85127899 -3.30023004  2.69189684 24.92876878]],0.7,0.7208665501664953
"('Ama__6', 'Antp__6', 'CG10479__6', 'KrP__6')",5,0.7,0.16916686546263815,[[  2.16672557   7.83716008  -1.89072387 -26.39738137]],0.7,0.16916686546263815
"('Ama__6', 'Antp__6', 'CG10479__6', 'KrP__6')",1+2,0.93,0.5170998812133613,[[ 0.5162793  12.34841681  2.01282063 -7.54749873]],0.79,0.4673065029520858
"('Ama__6', 'Antp__6', 'CG10479__6', 'KrP__6')",4+6+7,0.7,0.23263896471086515,[[ 1.97485154 -1.35912923 -6.4461417  -0.99638471]],0.7,0.23263896471086515
"('Ama__6', 'Antp__6', 'CG10479__6', 'gtP__6')",3,0.7,0.15616731072259352,[[-0.04782883  5.85344234  0.64749043 -4.3796538 ]],0.7,0.15616731072259352
"('Ama__6', 'Antp__6', 'CG10479__6', 'gtP__6')",5,0.71,0.14805700011313777,[[ 2.02328432 -1.10201418 -3.08143312  1.94955923]],0.7,0.14450476830569206
"('Ama__6', 'Antp__6', 'CG10479__6', 'gtP__6')",1+2,0.84,0.5209464972162844,[[1.73170951 9.89984618 0.87949693 5.7912135 ]],0.79,0.5087296544182603
"('Ama__6', 'Antp__6', 'CG10479__6', 'gtP__6')",4+6+7,0.7,0.2812501722163759,[[ 2.05634574 -2.02403748 -6.30751456 -2.37751559]],0.7,0.2812501722163759
"('Ama__6', 'Antp__6', 'CG10479__6', 'hbP__6]')",3,0.9,0.14377911525723658,[[-1.07849052  6.64385116  2.16625008 -5.73378408]],0.7,0.13732143323334647
"('Ama__6', 'Antp__6', 'CG10479__6', 'hbP__6]')",5,0.72,0.6057962757815886,[[ -0.80005867   7.25461754  -1.84420784 -95.34875547]],0.7,0.6025143534939563
"('Ama__6', 'Antp__6', 'CG10479__6', 'hbP__6]')",1+2,0.94,0.5507132182220745,[[ 4.25656934  5.18065096 -2.65713854 12.50238982]],0.79,0.4708913476057306
"('Ama__6', 'Antp__6', 'CG10479__6', 'hbP__6]')",4+6+7,0.7,0.23282086556306428,[[ 1.46433167 -1.18884409 -4.96359787 -2.60799357]],0.7,0.23282086556306428
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG13333__6')",3,0.7,0.3079792922246508,[[ 0.11890672  8.33310353 -4.33492287 -5.30596027]],0.7,0.3079792922246508
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG13333__6')",5,0.7,0.13841404953282924,[[ 0.81774559 -0.31909162 -7.80284211 -0.13517784]],0.7,0.13841404953282924
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG13333__6')",1+2,0.85,0.4443787995698363,[[0.82579432 6.69656677 2.8786492  3.56354363]],0.79,0.4391606536699123
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG13333__6')",4+6+7,0.7,0.2893510290280323,[[  0.09630147  -1.97734595 -12.47918431   3.58962741]],0.7,0.2893510290280323
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG14427__6')",3,0.7,0.17780828918659913,[[-0.68870699  6.28996758 -4.86421487 -1.89150153]],0.7,0.17780828918659913
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG14427__6')",5,0.7,0.14647892213782543,[[ 0.8642423  -0.41678996 -8.31487894  1.08873007]],0.7,0.14647892213782543
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG14427__6')",1+2,0.82,0.47325686710659876,[[ 1.25405978  6.92135311  3.75650339 -2.30600007]],0.79,0.46464253045116427
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG14427__6')",4+6+7,0.7,0.2460813830545368,[[  0.54309907  -0.92564198 -10.95793565   0.25214063]],0.7,0.2460813830545368
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG17724__6')",3,0.7,0.16840794486741953,[[-0.85546717  5.8578102  -4.72356184 -2.22395166]],0.7,0.16840794486741953
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG17724__6')",5,0.7,0.14948737188762531,[[ 1.38932603 -0.6557437  -9.42961088  5.64284756]],0.7,0.14948737188762531
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG17724__6')",1+2,0.87,0.4684417364979062,[[ 0.82929828  6.61128902  3.42803734 -2.45724986]],0.79,0.44830473986035413
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG17724__6')",4+6+7,0.71,0.2546419834355196,[[  0.83548461  -1.07255689 -11.55605799   2.75405055]],0.7,0.25393615355664845
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG17786__6')",3,0.7,0.1758908640935861,[[-0.55137212  5.67839783 -4.42190675 -2.67062567]],0.7,0.1758908640935861
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG17786__6')",5,0.7,0.15130702772356494,[[ 0.8720174  -0.26878608 -9.01645951  3.52888505]],0.7,0.15130702772356494
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG17786__6')",1+2,0.82,0.4682755910441977,[[ 1.17663588  6.78472579  6.11917255 -5.95110644]],0.79,0.4651012037576743
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG17786__6')",4+6+7,0.7,0.26158837152807485,[[  0.46538989  -0.86231109 -10.14969575  -3.47651037]],0.7,0.26158837152807485
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG31607__6')",3,0.7,0.41336389092836445,[[   1.28643761    3.0837674    -4.52584589 -118.22786021]],0.7,0.41336389092836445
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG31607__6')",5,0.71,0.1413118529603585,[[ 0.77419379 -0.65482313 -7.53230488 -1.90773129]],0.7,0.14011574659839776
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG31607__6')",1+2,0.87,0.44651274214898373,[[ 1.43263683  5.75147818  3.5868211  -4.12930326]],0.79,0.43140964765500545
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG31607__6')",4+6+7,0.7,0.29387800039280826,[[  0.5638983   -0.6454257  -11.07695575   2.00017739]],0.7,0.29387800039280826
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG31670__6')",3,0.7,0.17696687571123595,[[-0.56417162  5.63708445 -5.25079983 -0.76593637]],0.7,0.17696687571123595
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG31670__6')",5,0.7,0.13205861566014454,[[ 0.79633677 -0.33224894 -7.82035797 -0.32556909]],0.7,0.13205861566014454
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG31670__6')",1+2,0.88,0.45943143477600173,[[ 1.1149254   6.78180917  3.49505331 -3.14842652]],0.79,0.4356941876489698
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG31670__6')",4+6+7,0.7,0.24770549221935387,[[  0.55104276  -0.91799352 -10.80000976   0.16900429]],0.7,0.24770549221935387
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG8147__6')",3,0.7,0.2201545587496945,[[-0.09921126  4.46181531 -8.50952098 -9.36357635]],0.7,0.2201545587496945
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG8147__6')",5,0.71,0.19320588638737066,[[  0.88488738  -1.46691489 -10.59298022  -5.41821687]],0.7,0.1818156780412499
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG8147__6')",1+2,0.81,0.47571668399642447,[[ 1.36042625  6.26829311  2.11329472 -3.66002877]],0.79,0.4689697493084395
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG8147__6')",4+6+7,0.7,0.24863283362304822,[[  0.55529424  -1.37337043 -11.96941858  -1.59944555]],0.7,0.24863283362304822
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG8965__6')",3,0.7,0.17046259773031358,[[ -0.66369242   4.49011462  -5.92851745 -13.74703571]],0.7,0.17046259773031358
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG8965__6')",5,0.7,0.22378278792653597,[[  0.5576585   -2.08295469  -9.27630433 -17.36512994]],0.7,0.22378278792653597
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG8965__6')",1+2,0.86,0.4760933350762276,[[1.20581707 6.80438263 2.86181748 1.03261055]],0.79,0.45469896637812435
"('Ama__6', 'Antp__6', 'CG11208__6', 'CG8965__6')",4+6+7,0.7,0.2612150407819154,[[  0.60741681  -0.75268807 -10.41048182   0.78533018]],0.7,0.2612150407819154
"('Ama__6', 'Antp__6', 'CG11208__6', 'Cyp310a1__6')",3,0.7,0.16811101945401713,[[ 1.10622904  6.30997695 -5.04961764 -2.69934682]],0.7,0.16811101945401713
"('Ama__6', 'Antp__6', 'CG11208__6', 'Cyp310a1__6')",5,0.7,0.17717322660523874,[[ 2.7904829  -0.1249748  -7.50296276 -3.05879036]],0.7,0.17717322660523874
"('Ama__6', 'Antp__6', 'CG11208__6', 'Cyp310a1__6')",1+2,0.84,0.47861570216264526,[[ 1.93344147  6.47416054  2.94959861 -1.19341418]],0.79,0.4562093132254301
"('Ama__6', 'Antp__6', 'CG11208__6', 'Cyp310a1__6')",4+6+7,0.7,0.32484808206890714,[[  2.98639224  -0.72837044 -10.69518784  -4.00070833]],0.7,0.32484808206890714
"('Ama__6', 'Antp__6', 'CG11208__6', 'D__6')",3,0.7,0.20818282911625707,[[-1.3024205   6.90742853 -5.83246353  4.42680953]],0.7,0.20818282911625707
"('Ama__6', 'Antp__6', 'CG11208__6', 'D__6')",5,0.7,0.19387065918785673,[[ 0.30120687 -0.0773263  -7.38645805  4.11704284]],0.7,0.19387065918785673
"('Ama__6', 'Antp__6', 'CG11208__6', 'D__6')",1+2,0.81,0.4768064182410908,[[ 1.21463692  6.71861902  2.97225273 -1.10944223]],0.79,0.4744180224140541
"('Ama__6', 'Antp__6', 'CG11208__6', 'D__6')",4+6+7,0.7,0.3078886791605279,[[  0.28705546  -1.18789449 -10.31114284   3.24022539]],0.7,0.3078886791605279
"('Ama__6', 'Antp__6', 'CG11208__6', 'Dfd__6')",3,0.7,0.23455181247965307,[[ -1.10956148   7.01765182  -2.44960787 -10.17851544]],0.7,0.23455181247965307
"('Ama__6', 'Antp__6', 'CG11208__6', 'Dfd__6')",5,0.7,0.13719855795750302,[[ 0.82640412 -0.28343144 -6.73571291 -2.28365695]],0.7,0.13719855795750302
"('Ama__6', 'Antp__6', 'CG11208__6', 'Dfd__6')",1+2,0.71,0.4340644054633813,[[1.51484586 7.99384516 1.06506945 5.38739335]],0.79,0.419896872148726
"('Ama__6', 'Antp__6', 'CG11208__6', 'Dfd__6')",4+6+7,0.7,0.2516791312685307,[[ 0.52987472 -0.85373713 -9.7872378  -2.17011887]],0.7,0.2516791312685307
"('Ama__6', 'Antp__6', 'CG11208__6', 'Doc2__6')",3,0.7,0.18401181483304924,[[-0.76121559  6.19812369 -5.14749752  1.02020733]],0.7,0.18401181483304924
"('Ama__6', 'Antp__6', 'CG11208__6', 'Doc2__6')",5,0.71,0.14380486873661022,[[ 1.04165921 -0.70803101 -8.28484576 -1.67517594]],0.7,0.14125328275056598
"('Ama__6', 'Antp__6', 'CG11208__6', 'Doc2__6')",1+2,0.85,0.47229468646836203,[[ 1.18611344  6.55566828  2.77866577 -0.0506896 ]],0.79,0.46056901735608685
"('Ama__6', 'Antp__6', 'CG11208__6', 'Doc2__6')",4+6+7,0.7,0.2479529714646693,[[  0.80191681  -1.30582648 -11.36433087  -1.63017331]],0.7,0.2479529714646693
"('Ama__6', 'Antp__6', 'CG11208__6', 'Doc3__6')",3,0.7,0.18064340955267194,[[-0.5245301   5.76174347 -5.25340987  0.25066286]],0.7,0.18064340955267194
"('Ama__6', 'Antp__6', 'CG11208__6', 'Doc3__6')",5,0.7,0.16660445104833976,[[ 0.71601055 -1.67847782 -9.03800787 -4.59668989]],0.7,0.16660445104833976
"('Ama__6', 'Antp__6', 'CG11208__6', 'Doc3__6')",1+2,0.85,0.46590983314785805,[[ 1.24290222  6.40472356  3.13519114 -1.39567982]],0.79,0.4531700773737594
"('Ama__6', 'Antp__6', 'CG11208__6', 'Doc3__6')",4+6+7,0.7,0.3326772117514681,[[  0.49628923  -2.57137389 -12.83442949  -5.15559531]],0.7,0.3326772117514681
"('Ama__6', 'Antp__6', 'CG11208__6', 'Esp__6')",3,0.75,0.25487184639509586,[[ 0.84844566  3.71445474 -5.85645239  5.42300805]],0.7,0.25077700037528977
"('Ama__6', 'Antp__6', 'CG11208__6', 'Esp__6')",5,0.7,0.13871907889967208,[[ 0.74643487 -0.19557873 -7.73930009 -1.07600348]],0.7,0.13871907889967208
"('Ama__6', 'Antp__6', 'CG11208__6', 'Esp__6')",1+2,0.85,0.515095335201342,[[ 1.02172057  7.64886912  2.6723966  -9.0551646 ]],0.79,0.4953249037213218
"('Ama__6', 'Antp__6', 'CG11208__6', 'Esp__6')",4+6+7,0.71,0.2287016220001555,[[  0.77029162  -1.22649614 -11.63933488   1.98751152]],0.7,0.22785138684528541
"('Ama__6', 'Antp__6', 'CG11208__6', 'HLHm5__6')",3,0.7,0.17154808273360195,[[-0.44926901  5.8287203  -5.19795418 -0.28658971]],0.7,0.17154808273360195
"('Ama__6', 'Antp__6', 'CG11208__6', 'HLHm5__6')",5,0.7,0.14752045781785622,[[ 1.18192845 -0.18226524 -7.04388543 -1.29267748]],0.7,0.14752045781785622
"('Ama__6', 'Antp__6', 'CG11208__6', 'HLHm5__6')",1+2,0.81,0.4657935818481309,[[0.63988557 6.68040961 2.05947643 1.88262006]],0.79,0.4636238477210858
"('Ama__6', 'Antp__6', 'CG11208__6', 'HLHm5__6')",4+6+7,0.7,0.246395608780148,[[  0.5577548   -0.89378659 -10.79207211  -0.0502661 ]],0.7,0.246395608780148
"('Ama__6', 'Antp__6', 'CG11208__6', 'Ilp4__6')",3,0.7,0.1682521719297498,[[ 0.52172221  6.62389078 -4.82648355 -4.09332215]],0.7,0.1682521719297498
"('Ama__6', 'Antp__6', 'CG11208__6', 'Ilp4__6')",5,0.7,0.12109700235921057,[[ 1.18792955 -0.23663381 -7.51486902 -1.15215508]],0.7,0.12109700235921057
"('Ama__6', 'Antp__6', 'CG11208__6', 'Ilp4__6')",1+2,0.85,0.46891255567404905,[[0.94090156 6.56097058 2.69753338 0.81798671]],0.79,0.45526190912997827
"('Ama__6', 'Antp__6', 'CG11208__6', 'Ilp4__6')",4+6+7,0.7,0.31221268458576074,[[  1.78420214  -0.37701134 -10.1420994   -5.18401643]],0.7,0.31221268458576074
"('Ama__6', 'Antp__6', 'CG11208__6', 'ImpE2__6')",3,0.7,0.1807997068117719,[[ -0.56828923   6.69395744  -3.9188022  -11.00130007]],0.7,0.1807997068117719
"('Ama__6', 'Antp__6', 'CG11208__6', 'ImpE2__6')",5,0.7,0.12740167362686095,[[ 0.85569178 -0.40719055 -7.1991842  -2.7382021 ]],0.7,0.12740167362686095
"('Ama__6', 'Antp__6', 'CG11208__6', 'ImpE2__6')",1+2,0.85,0.4714605909551985,[[1.1945328  6.57095866 2.76549273 0.21288775]],0.79,0.45986139431187806
"('Ama__6', 'Antp__6', 'CG11208__6', 'ImpE2__6')",4+6+7,0.7,0.264878462489894,[[  0.5829867   -0.98185405 -10.02647525  -3.26759377]],0.7,0.264878462489894
"('Ama__6', 'Antp__6', 'CG11208__6', 'ImpL2__6')",3,0.7,0.17850386381097566,[[-0.8303302   6.04743395 -4.91807985 -1.02070821]],0.7,0.17850386381097566
"('Ama__6', 'Antp__6', 'CG11208__6', 'ImpL2__6')",5,0.71,0.09959361478508655,[[ 0.31296152  0.41015019 -6.51083308 -5.27283147]],0.7,0.09524886708034916
"('Ama__6', 'Antp__6', 'CG11208__6', 'ImpL2__6')",1+2,0.86,0.4506120557838062,[[2.23296344 5.81595471 2.68997351 3.41053   ]],0.79,0.44256646816557105
"('Ama__6', 'Antp__6', 'CG11208__6', 'ImpL2__6')",4+6+7,0.7,0.2494206291135941,[[  0.37267784  -0.73529629 -10.32425069  -1.07019479]],0.7,0.2494206291135941
"('Ama__6', 'Antp__6', 'CG11208__6', 'MESR3__6')",3,0.7,0.15510864608345248,[[-1.03314147  5.67242188 -5.38800275 -1.57194333]],0.7,0.15510864608345248
"('Ama__6', 'Antp__6', 'CG11208__6', 'MESR3__6')",5,0.7,0.1657368791834787,[[ 0.56436633 -0.42677501 -7.79755398 -0.86935641]],0.7,0.1657368791834787
"('Ama__6', 'Antp__6', 'CG11208__6', 'MESR3__6')",1+2,0.84,0.46997540582807135,[[1.84567489 7.08578625 3.11167157 2.06070008]],0.79,0.46652336236690095
"('Ama__6', 'Antp__6', 'CG11208__6', 'MESR3__6')",4+6+7,0.7,0.24337887180459067,[[  0.49573011  -1.01234834 -11.01406819  -0.50543951]],0.7,0.24337887180459067
"('Ama__6', 'Antp__6', 'CG11208__6', 'Mdr49__6')",3,0.7,0.16778967910614506,[[ 0.40907508  6.27757181 -4.84957719 -3.62966417]],0.7,0.16778967910614506
"('Ama__6', 'Antp__6', 'CG11208__6', 'Mdr49__6')",5,0.7,0.13401871264145887,[[ 1.26092401 -0.25734939 -7.60414462 -1.35606145]],0.7,0.13401871264145887
"('Ama__6', 'Antp__6', 'CG11208__6', 'Mdr49__6')",1+2,0.86,0.47184918265794074,[[ 1.80123074  6.57720575  3.08450065 -1.87748578]],0.79,0.45445665099379445
"('Ama__6', 'Antp__6', 'CG11208__6', 'Mdr49__6')",4+6+7,0.7,0.31139863027723336,[[  1.87462114  -0.52791325 -10.22726342  -4.94144627]],0.7,0.31139863027723336
"('Ama__6', 'Antp__6', 'CG11208__6', 'Mes2__6')",3,0.7,0.18426307667778966,[[ 1.00205908  6.83655814 -4.52548775 -2.674762  ]],0.7,0.18426307667778966
"('Ama__6', 'Antp__6', 'CG11208__6', 'Mes2__6')",5,0.71,0.17269731014138548,[[ 2.62688313  0.18808111 -6.81559889 -3.10230339]],0.7,0.17089367222424942
"('Ama__6', 'Antp__6', 'CG11208__6', 'Mes2__6')",1+2,0.85,0.4769494171455434,[[ 1.83664062  6.53529005  3.12105132 -0.96460278]],0.79,0.46234252315639796
"('Ama__6', 'Antp__6', 'CG11208__6', 'Mes2__6')",4+6+7,0.7,0.2966713493034084,[[  2.27489244  -0.57527822 -10.03592797  -2.90926019]],0.7,0.2966713493034084
"('Ama__6', 'Antp__6', 'CG11208__6', 'Nek2__6')",3,0.7,0.3457961474143656,[[ -4.40338429   3.49729612  -5.17627495 -13.59908174]],0.7,0.3457961474143656
"('Ama__6', 'Antp__6', 'CG11208__6', 'Nek2__6')",5,0.7,0.13600526812132052,[[ 1.15759997 -0.1829823  -7.94848888  0.8602556 ]],0.7,0.13600526812132052
"('Ama__6', 'Antp__6', 'CG11208__6', 'Nek2__6')",1+2,0.85,0.47354387900939393,[[1.91268292 7.18351074 2.59444085 1.5461215 ]],0.79,0.44165984870967007
"('Ama__6', 'Antp__6', 'CG11208__6', 'Nek2__6')",4+6+7,0.7,0.3072281702757887,[[  1.3540997   -0.60987805 -10.8286535    1.91348641]],0.7,0.3072281702757887
"('Ama__6', 'Antp__6', 'CG11208__6', 'NetA__6')",3,0.7,0.20957083333971618,[[ 1.61597938  7.49960624 -4.22304872 -3.26668805]],0.7,0.20957083333971618
"('Ama__6', 'Antp__6', 'CG11208__6', 'NetA__6')",5,0.7,0.1454333874149986,[[ 1.42393392 -0.14187857 -7.47956118 -0.85369668]],0.7,0.1454333874149986
"('Ama__6', 'Antp__6', 'CG11208__6', 'NetA__6')",1+2,0.85,0.4773510365771781,[[ 1.49882769  6.60177026  2.93074049 -0.42390708]],0.79,0.45759707611008593
"('Ama__6', 'Antp__6', 'CG11208__6', 'NetA__6')",4+6+7,0.7,0.2770314026343624,[[  1.20256815  -0.6968419  -10.54413572  -1.00011623]],0.7,0.2770314026343624
"('Ama__6', 'Antp__6', 'CG11208__6', 'Traf1__6')",3,0.71,0.21351500153355882,[[ 0.36023724  6.69372995 -5.70683114 -6.12034178]],0.7,0.2117050481021993
"('Ama__6', 'Antp__6', 'CG11208__6', 'Traf1__6')",5,0.7,0.17169807366888998,[[ 1.04333738 -0.27194241 -7.7832338  -1.32609463]],0.7,0.17169807366888998
