Model,Stripe,Threshold,MCC,Coefs,Median Threshold,Median MCC
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG17786__6')",3,0.7,0.15276202101564165,[[ 0.25311008  5.87362234  1.26093267 -6.706405  ]],0.7,0.15276202101564165
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG17786__6')",5,0.7,0.15542557552823963,[[ 0.14699939 -1.13411942 -4.81128227 -1.32434759]],0.7,0.15542557552823963
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG17786__6')",1+2,0.77,0.4721908714528706,[[ 0.59901978  5.97811239  0.75523557 -1.40847731]],0.79,0.4690252996165133
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG17786__6')",4+6+7,0.71,0.22940252293393193,[[  1.50877088  -0.99906644   1.66362772 -10.15985091]],0.7,0.22578516042860086
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG31607__6')",3,0.71,0.41559477417096397,[[   1.98988327    2.93235187    0.83163744 -117.01458682]],0.7,0.4120577246327414
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG31607__6')",5,0.73,0.1704247796691991,[[ 0.18022287 -1.43312776 -4.73758715 -2.34870797]],0.7,0.15628500366694983
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG31607__6')",1+2,0.78,0.4734443921899558,[[ 0.7935012   5.42519355  0.63057222 -3.07060062]],0.79,0.470950230514882
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG31607__6')",4+6+7,0.71,0.1578298352800202,[[ 1.76731407 -0.69640176  0.43877748  0.43525961]],0.7,0.15437644472832773
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG31670__6')",3,0.7,0.16304174769345367,[[ 0.26964406  5.94163544  0.55851295 -2.20765736]],0.7,0.16304174769345367
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG31670__6')",5,0.71,0.15317643604487635,[[ 0.13498046 -1.11086495 -4.98543594 -0.95955072]],0.7,0.15306252775554313
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG31670__6')",1+2,0.81,0.4724283040919041,[[ 0.63248156  6.14137846  0.65943288 -1.60916799]],0.79,0.47048506010053276
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG31670__6')",4+6+7,0.7,0.1317981676489789,[[ 1.6680463  -0.73983972  0.67780963 -2.51205984]],0.7,0.1317981676489789
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG8147__6')",3,0.7,0.15334644983762039,[[ 0.63102495  5.39730955 -0.19265986 -5.13357461]],0.7,0.15334644983762039
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG8147__6')",5,0.7,0.1441570788334118,[[ 0.18241009 -1.84631938 -5.75158507 -3.0170105 ]],0.7,0.1441570788334118
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG8147__6')",1+2,0.78,0.47270663706755167,[[ 0.98451478  5.7918775   0.15812727 -4.86836098]],0.79,0.47229718472765125
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG8147__6')",4+6+7,0.7,0.20934413399985002,[[ 1.75012738 -0.27609693  0.81016676  1.95286973]],0.7,0.20934413399985002
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG8965__6')",3,0.7,0.21396889673582933,[[  0.90127144   4.70503811   2.06021201 -18.07354932]],0.7,0.21396889673582933
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG8965__6')",5,0.7,0.1888321926115399,[[  0.28881254  -2.68205852  -3.83658645 -16.24744934]],0.7,0.1888321926115399
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG8965__6')",1+2,0.77,0.4741751259627249,[[0.6698061  6.17582739 0.48075479 0.56218625]],0.79,0.4720102127637753
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG8965__6')",4+6+7,0.7,0.2547964225852255,[[ 1.70563331 -0.44216848  0.02855411  1.85860011]],0.7,0.2547964225852255
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Cyp310a1__6')",3,0.7,0.15174821601360014,[[ 2.24617358  6.77649551  0.01726375 -3.41727366]],0.7,0.15174821601360014
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Cyp310a1__6')",5,0.82,0.18296572733214272,[[ 3.18951204 -0.78220097 -6.5313991  -5.28277831]],0.7,0.16661641990140258
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Cyp310a1__6')",1+2,0.77,0.47718096836513213,[[ 1.02148571  5.98618633  0.41056383 -0.63259982]],0.79,0.4758669261581176
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Cyp310a1__6')",4+6+7,0.7,0.240150128589253,[[ 4.50505978 -0.79877269 -0.23126678 -4.97636375]],0.7,0.240150128589253
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'D__6')",3,0.7,0.1472574930625607,[[-0.13808004  6.80186019  0.50185662  3.70389115]],0.7,0.1472574930625607
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'D__6')",5,0.7,0.2174356322226878,[[-0.37898965 -0.7115162  -5.56814875  3.63112131]],0.7,0.2174356322226878
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'D__6')",1+2,0.78,0.47195330575669747,[[ 0.68099063  6.13439454  0.47741947 -0.57868334]],0.79,0.46722546255634767
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'D__6')",4+6+7,0.7,0.11571465812859981,[[ 1.65501897 -0.93598264  0.58766334  2.36751075]],0.7,0.11571465812859981
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Dfd__6')",3,0.7,0.2697939782102209,[[ -0.36146932   7.47193227   1.8827333  -12.35821914]],0.7,0.2697939782102209
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Dfd__6')",5,0.7,0.13674582706418636,[[ 0.02355086 -0.71610578 -4.73017779 -5.7881317 ]],0.7,0.13674582706418636
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Dfd__6')",1+2,0.7,0.4326920540376055,[[ 0.82206647  7.86281637 -1.88103974  6.6619958 ]],0.79,0.4096801866880727
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Dfd__6')",4+6+7,0.7,0.19519232453481275,[[ 1.67181382 -0.75531074  1.70660242 -8.40162813]],0.7,0.19519232453481275
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Doc2__6')",3,0.7,0.16434823815501792,[[0.23678247 6.51721893 0.59328686 0.9868474 ]],0.7,0.16434823815501792
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Doc2__6')",5,0.74,0.13653743619045994,[[ 0.34331966 -1.54579763 -5.19779465 -1.54243468]],0.7,0.1335548698603656
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Doc2__6')",1+2,0.79,0.4752673352900158,[[0.66005037 6.13506381 0.54657678 0.27102024]],0.79,0.4752673352900158
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Doc2__6')",4+6+7,0.75,0.18272911640055206,[[ 1.91359751 -1.10778365  0.43022565 -1.181939  ]],0.7,0.17656846127183395
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Doc3__6')",3,0.7,0.16232471413200306,[[0.4128352  6.10568539 0.46304138 0.26945701]],0.7,0.16232471413200306
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Doc3__6')",5,0.7,0.16742716570427033,[[-0.06480316 -2.59180354 -5.76161109 -4.6363376 ]],0.7,0.16742716570427033
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Doc3__6')",1+2,0.77,0.4721908714528706,[[ 0.68691328  5.94083803  0.55221292 -0.74930868]],0.79,0.46874661440808013
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Doc3__6')",4+6+7,0.71,0.1781992422877045,[[ 1.63944418 -2.08191797  0.19838394 -4.11734329]],0.7,0.1775608682669965
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Esp__6')",3,0.7,0.26617124352664623,[[2.22175005 3.86150978 1.41077542 5.83499414]],0.7,0.26617124352664623
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Esp__6')",5,0.71,0.12994483434832071,[[-0.29347058 -0.59383868 -6.255125   -3.75307742]],0.7,0.12852930083647404
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Esp__6')",1+2,0.84,0.5204333461541777,[[ 0.11746365  7.03483663 -0.61019914 -8.89568622]],0.79,0.5065224467110649
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Esp__6')",4+6+7,0.7,0.17215860206786532,[[ 2.06872914 -0.97217534  0.92988229  1.3963379 ]],0.7,0.17215860206786532
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'HLHm5__6')",3,0.7,0.15049759423796027,[[ 0.57580757  6.55985272  0.13356552 -1.45270995]],0.7,0.15049759423796027
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'HLHm5__6')",5,0.71,0.14833715073151718,[[ 0.8689602  -0.56125069 -6.58067388 -4.57130931]],0.7,0.14152131883382726
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'HLHm5__6')",1+2,0.83,0.45746713765745356,[[0.40943336 6.58408035 1.20870741 2.57976033]],0.79,0.455017536082436
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'HLHm5__6')",4+6+7,0.7,0.18416145578874996,[[ 2.22548325 -0.63307672  0.06329185 -3.03142219]],0.7,0.18416145578874996
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Ilp4__6')",3,0.7,0.15536046446684676,[[ 1.62771367  7.27855767  0.14053242 -5.66295679]],0.7,0.15536046446684676
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Ilp4__6')",5,0.74,0.1293082519128156,[[ 1.47063585 -0.50509708 -5.78711488 -4.90973084]],0.7,0.12077746721633538
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Ilp4__6')",1+2,0.72,0.46316788788361424,[[0.23559312 6.14589155 0.77869368 1.95151402]],0.79,0.4619781201915028
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Ilp4__6')",4+6+7,0.71,0.2581795503670824,[[ 3.22791166 -0.18399699 -0.12938346 -7.20845773]],0.7,0.2556650036000383
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'ImpE2__6')",3,0.7,0.20040869210572723,[[ -0.03153863   7.20096043   0.22448335 -13.85468874]],0.7,0.20040869210572723
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'ImpE2__6')",5,0.7,0.12421521895692247,[[  0.11394922  -0.69279311  -5.78575581 -10.42507887]],0.7,0.12421521895692247
