CG10924__3,CG17786__3,CG4702__3,Cyp310a1__3,D__3,Dfd__3,Doc2__3,Traf1__3,brk__3,bun__3,cad__3,cnc__3,croc__3,emc__3,eve__3,fj__3,fkh__3,ftz__3,h__3,hkb__3,kni__3,knrl__3,oc__3,odd__3,path__3,prd__3,rho__3,sala__3,slp1__3,slp2__3,sna__3,sob__3,srp__3,term__3,tll__3,trn__3,tsh__3,twi__3,zen__3,KrP__3,bcdP__3,gtP__3,hbP__3,stripe_1,stripe_2,stripe_3,stripe_4,stripe_5,stripe_6,stripe_7,all_stripes,stripe_3+7,stripe_4+6
0.171796,0.260291,0.082085,0.126144,0.032257999999999995,0.331176,0.23724099999999998,0.069812,0.221189,0.15378599999999998,0.092706,0.6613899999999999,0.431595,0.361566,0.034789999999999995,0.165426,0.254213,0.045015,0.179116,0.576365,0.744062,0.644859,0.079088,0.236801,1.048127,0.046825,0.018288,0.124575,0.278582,0.253202,0.07798300000000001,0.893043,0.145535,0.12133800000000002,0.016141,0.183604,0.08895299999999999,0.475196,0.072898,0.055872000000000005,0.963743,0.133881,0.560603,0,0,0,0,0,0,0,0,0,0
0.077803,0.21279499999999998,0.07749099999999999,0.21718400000000002,0.031471,0.485232,0.186148,0.10018200000000001,0.149335,0.1079,0.08046299999999999,0.6847479999999999,0.5290600000000001,0.31148400000000004,0.03266,0.215704,0.373621,0.046141,0.10724700000000001,0.6074189999999999,0.8619190000000001,1.12317,0.075387,0.34397,0.757143,0.052917,0.048969,0.088465,0.28687399999999996,0.22678099999999998,0.177803,0.8377459999999999,0.11411400000000001,0.21822399999999997,0.018228,0.332125,0.11738499999999999,0.802567,0.101285,0.050994,1.0212,0.114373,0.53413,0,0,0,0,0,0,0,0,0,0
0.181873,0.210779,0.07810800000000001,0.126506,0.042332,0.45067799999999997,0.204011,0.094247,0.22461199999999998,0.169025,0.08870399999999999,0.599622,0.5400699999999999,0.21079699999999998,0.032521,0.208209,0.3303,0.045965,0.112265,0.601537,0.8818540000000001,1.026032,0.075387,0.280092,0.78861,0.064592,0.047405,0.078141,0.291215,0.22471300000000002,0.148239,0.943369,0.145535,0.259087,0.023358,0.275488,0.11571,0.7482439999999999,0.084727,0.049817,1.02431,0.113329,0.5386770000000001,0,0,0,0,0,0,0,0,0,0
0.129524,0.217379,0.077699,0.30644099999999996,0.009034,0.370552,0.20531300000000002,0.039919,0.28592,0.145715,0.09008200000000001,0.41507799999999995,0.655118,0.31596599999999997,0.025117,0.18850899999999998,0.41780500000000004,0.05951,0.10299200000000001,0.622302,0.9508639999999999,1.182988,0.08544299999999999,0.43733500000000003,0.626052,0.045841,0.048538,0.164943,0.28715599999999997,0.225677,0.221798,0.997941,0.19964300000000001,0.148616,0.029969,0.369627,0.113225,0.871244,0.090162,0.048171,1.03572,0.112474,0.532338,0,0,0,0,0,0,0,0,0,0
0.17565,0.30287800000000004,0.08765099999999999,0.131936,0.046954,0.398933,0.20372300000000002,0.040705,0.235069,0.126735,0.071733,0.600392,0.46561400000000003,0.3614,0.0312,0.17913800000000002,0.26156999999999997,0.047538,0.163156,0.612512,0.757951,0.631879,0.08695800000000001,0.19033699999999998,0.777215,0.038119,0.020985,0.074135,0.25761300000000004,0.269477,0.072867,0.542179,0.145535,0.131152,0.020074,0.08988600000000001,0.077959,0.5006430000000001,0.038777,0.052484,0.954203,0.12229300000000001,0.53145,0,0,0,0,0,0,0,0,0,0
0.070627,0.200213,0.045411,0.30644099999999996,0.009729999999999999,0.37390999999999996,0.20531300000000002,0.06099299999999999,0.20385699999999998,0.07679,0.081579,0.41507799999999995,0.644514,0.316498,0.023087,0.18850899999999998,0.42882,0.056359000000000006,0.10386500000000001,0.6056279999999999,0.9535549999999999,1.139573,0.055683,0.40675500000000003,0.513552,0.031557,0.038508999999999995,0.164943,0.295844,0.251849,0.278046,0.973268,0.22879000000000002,0.148616,0.024403,0.399494,0.119905,0.997274,0.10513900000000001,0.053779999999999994,1.036138,0.09887699999999999,0.5184310000000001,0,0,0,0,0,0,0,0,0,0
0.144038,0.29554600000000003,0.091136,0.196512,0.038207,0.45890200000000003,0.225494,0.098583,0.181554,0.120128,0.069897,0.540569,0.5337609999999999,0.338091,0.033392000000000005,0.182501,0.307716,0.050561,0.13768,0.6189319999999999,0.925796,0.791891,0.08705700000000001,0.22502600000000003,0.9361520000000001,0.024083,0.025518,0.089798,0.337485,0.24714499999999998,0.145862,0.787041,0.130955,0.07736900000000001,0.019818000000000002,0.22918000000000002,0.11383800000000001,0.684449,0.072915,0.063983,0.997835,0.108848,0.53999,0,0,0,0,0,0,0,0,0,0
0.126313,0.23499499999999998,0.11761700000000001,0.1641,0.045502,0.498849,0.177268,0.056103999999999994,0.231771,0.064729,0.047785,0.741992,0.46635,0.399296,0.028091,0.17315999999999998,0.256856,0.049507,0.173289,0.612975,0.8652139999999999,0.732089,0.07430700000000001,0.171291,0.7675850000000001,0.048416,0.020398,0.098392,0.30759000000000003,0.21415700000000001,0.121331,0.711767,0.13076600000000002,0.07736900000000001,0.019731,0.11917799999999999,0.104742,0.645313,0.084753,0.058679999999999996,0.9606370000000001,0.126003,0.540601,0,0,0,0,0,0,0,0,0,0
0.104111,0.28346,0.103564,0.227266,0.038281,0.507722,0.075624,0.08792799999999999,0.234773,0.125856,0.030016,0.46431300000000003,0.603063,0.257373,0.024252000000000003,0.23819099999999999,0.396108,0.049194999999999996,0.1165,0.618818,0.9451149999999999,1.0426030000000002,0.07532,0.364754,0.566186,0.037052,0.035894,0.128357,0.288921,0.216964,0.203523,0.696593,0.28784899999999997,0.177337,0.029769999999999998,0.303096,0.109051,0.870251,0.122431,0.052610000000000004,1.022471,0.094176,0.546845,0,0,0,0,0,0,0,0,0,0
0.09637000000000001,0.216873,0.08027000000000001,0.221881,0.050732,0.418529,0.21575300000000003,0.100781,0.179805,0.136198,0.039823000000000004,0.574786,0.54259,0.344196,0.029637,0.23046399999999997,0.37308800000000003,0.039824,0.158385,0.667956,0.9351360000000001,1.021072,0.059677999999999995,0.25593899999999997,0.760238,0.048539,0.0236,0.118967,0.310292,0.30661,0.208362,0.672355,0.150384,0.151821,0.023768,0.27936300000000003,0.103649,0.8794629999999999,0.111276,0.040991,0.994128,0.11724200000000001,0.543391,0,0,0,0,0,0,0,0,0,0
